Tweets Ago,compound,date,neg,neu,pos,time,user
85,0.0,2018-01-30,0.0,1.0,0.0,Tue Jan 30 02:12:15 +0000 2018,@CBS
86,-0.296,2018-01-30,0.115,0.885,0.0,Tue Jan 30 01:29:06 +0000 2018,@CBS
87,0.0,2018-01-30,0.0,1.0,0.0,Tue Jan 30 00:11:05 +0000 2018,@CBS
88,0.3818,2018-01-29,0.0,0.885,0.115,Mon Jan 29 22:45:21 +0000 2018,@CBS
89,0.5093,2018-01-29,0.079,0.758,0.162,Mon Jan 29 22:10:15 +0000 2018,@CBS
90,0.0,2018-01-29,0.0,1.0,0.0,Mon Jan 29 20:00:04 +0000 2018,@CBS
91,0.7783,2018-01-29,0.0,0.714,0.286,Mon Jan 29 19:00:05 +0000 2018,@CBS
92,0.9259,2018-01-29,0.0,0.558,0.442,Mon Jan 29 18:00:02 +0000 2018,@CBS
93,0.0,2018-01-29,0.0,1.0,0.0,Mon Jan 29 17:15:04 +0000 2018,@CBS
94,0.5106,2018-01-29,0.0,0.837,0.163,Mon Jan 29 16:00:05 +0000 2018,@CBS
95,0.1531,2018-01-29,0.0,0.914,0.086,Mon Jan 29 15:00:03 +0000 2018,@CBS
96,0.3182,2018-01-29,0.123,0.741,0.136,Mon Jan 29 14:00:02 +0000 2018,@CBS
97,0.6597,2018-01-29,0.0,0.707,0.293,Mon Jan 29 13:00:01 +0000 2018,@CBS
98,0.0,2018-01-29,0.0,1.0,0.0,Mon Jan 29 12:00:03 +0000 2018,@CBS
99,0.0,2018-01-29,0.0,1.0,0.0,Mon Jan 29 08:18:18 +0000 2018,@CBS
100,0.5719,2018-01-29,0.0,0.73,0.27,Mon Jan 29 07:40:26 +0000 2018,@CBS
1,0.1134,2018-03-03,0.223,0.521,0.256,Sat Mar 03 22:00:36 +0000 2018,@CNN
2,0.4019,2018-03-03,0.0,0.876,0.124,Sat Mar 03 21:45:06 +0000 2018,@CNN
3,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 21:30:08 +0000 2018,@CNN
4,-0.5994,2018-03-03,0.262,0.738,0.0,Sat Mar 03 21:15:07 +0000 2018,@CNN
5,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 21:00:15 +0000 2018,@CNN
6,0.1531,2018-03-03,0.108,0.76,0.132,Sat Mar 03 20:46:02 +0000 2018,@CNN
7,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 20:31:03 +0000 2018,@CNN
8,-0.6486,2018-03-03,0.177,0.823,0.0,Sat Mar 03 20:17:29 +0000 2018,@CNN
9,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 20:15:07 +0000 2018,@CNN
10,-0.3182,2018-03-03,0.133,0.867,0.0,Sat Mar 03 20:00:19 +0000 2018,@CNN
11,0.7876,2018-03-03,0.0,0.668,0.332,Sat Mar 03 19:45:05 +0000 2018,@CNN
12,-0.5994,2018-03-03,0.253,0.642,0.106,Sat Mar 03 19:30:12 +0000 2018,@CNN
13,-0.2732,2018-03-03,0.13,0.87,0.0,Sat Mar 03 19:15:05 +0000 2018,@CNN
14,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 19:00:19 +0000 2018,@CNN
15,0.4939,2018-03-03,0.109,0.659,0.233,Sat Mar 03 18:45:09 +0000 2018,@CNN
16,-0.8316,2018-03-03,0.355,0.645,0.0,Sat Mar 03 18:30:05 +0000 2018,@CNN
17,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 18:15:16 +0000 2018,@CNN
18,0.4019,2018-03-03,0.0,0.847,0.153,Sat Mar 03 18:00:24 +0000 2018,@CNN
19,-0.8126,2018-03-03,0.433,0.567,0.0,Sat Mar 03 17:45:07 +0000 2018,@CNN
20,-0.4767,2018-03-03,0.14,0.86,0.0,Sat Mar 03 17:41:40 +0000 2018,@CNN
21,-0.765,2018-03-03,0.306,0.694,0.0,Sat Mar 03 17:30:09 +0000 2018,@CNN
22,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 17:24:04 +0000 2018,@CNN
23,-0.6954,2018-03-03,0.291,0.63,0.078,Sat Mar 03 17:15:39 +0000 2018,@CNN
24,0.0,2018-03-03,0.0,1.0,0.0,Sat Mar 03 17:03:04 +0000 2018,@CNN
